ID,Name,Description
G0139,TeamTNT,TeamTNT  has used malware that adds cryptocurrency miners as a service. 
S0560,TEARDROP,TEARDROP  ran as a Windows service from the  c:\windows\syswow64  folder.  
G0027,Threat Group-3390,"Threat Group-3390 's malware can create a new service, sometimes naming it after the config information, to gain persistence.  "
S0665,ThreatNeedle,ThreatNeedle  can run in memory and register its payload as a Windows service. 
S0004,TinyZBot,TinyZBot  can install as a Windows service for persistence. 
S0266,TrickBot,TrickBot  establishes persistence by creating an autostart service that allows it to run whenever the machine boots. 
G0081,Tropic Trooper,Tropic Trooper  has installed a service pointing to a malicious DLL dropped to disk. 
S0263,TYPEFRAME,TYPEFRAME  variants can add malicious DLL modules as new services. TYPEFRAME  can also delete services from the victim’s machine. 
S0022,Uroburos,"Uroburos  has registered a service, typically named  WerFaultSvc , to decrypt and find a kernel driver and kernel driver loader to maintain persistence. "
S0386,Ursnif,Ursnif  has registered itself as a system service in the Registry for automatic execution at system startup. 
S0180,Volgmer,"Volgmer  installs a copy of itself in a randomly selected service, then overwrites the ServiceDLL entry in the service's Registry entry. Some  Volgmer  variants also install .dll files as services with names generated by a list of hard-coded strings.   "
S0366,WannaCry,"WannaCry  creates the service ""mssecsvc2.0"" with the display name ""Microsoft Security Center (2.0) Service.""  "
S0612,WastedLocker,WastedLocker  created and established a service that runs until the encryption process is complete. 
S0206,Wiarp,Wiarp  creates a backdoor through which remote attackers can create a service. 
S0176,Wingbird,"Wingbird  uses services.exe to register a new autostart service named ""Audit Service"" using a copy of the local lsass.exe file.  "
S0141,Winnti for Windows,Winnti for Windows  sets its DLL file as a new service in the Registry to establish persistence. 
G0102,Wizard Spider,Wizard Spider  has installed  TrickBot  as a service named ControlServiceA in order to establish persistence.  
S0230,ZeroT,ZeroT  can add a new service to ensure  PlugX  persists on the system when delivered as another payload onto the system. 
S0086,ZLib,ZLib  creates Registry keys to allow itself to run as various services. 
S0350,zwShell,zwShell  has established persistence by adding itself as a new service. 
S0412,ZxShell,ZxShell  can create a new service using the service parser function ProcessScCommand. 
M1047,Audit,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.
M1040,Behavior Prevention on Endpoint,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent an application from writing a signed vulnerable driver to the system.   On Windows 10 and 11, enable Microsoft Vulnerable Driver Blocklist to assist in hardening against third party-developed service drivers. "
M1045,Code Signing,Enforce registration and execution of only legitimately signed service drivers where possible.
M1028,Operating System Configuration,Ensure that Driver Signature Enforcement is enabled to restrict unsigned drivers from being installed.
M1018,User Account Management,Limit privileges of user accounts and groups so that only authorized administrators can interact with service changes and service configurations.
S0274,Calisto,Calisto  collects Keychain storage data and copies those passwords/tokens to a file.  
S0690,Green Lambert,"Green Lambert  can use Keychain Services API functions to find and collect passwords, such as  SecKeychainFindInternetPassword  and  SecKeychainItemCopyAttributesAndData .  "
S0278,iKitten,iKitten  collects the keychains on the system. 
S0349,LaZagne,LaZagne  can obtain credentials from macOS Keychains. 
S1016,MacMa,MacMa  can dump credentials from the macOS keychain. 
S0279,Proton,Proton  gathers credentials in files for keychains. 
M1027,Password Policies,The password for the user's login keychain can be changed from the user's login password. This increases the complexity for an adversary because they need to know an additional password.
G0117,Fox Kitten,Fox Kitten  has used scripts to access credential information from the KeePass database. 
G1004,LAPSUS$,LAPSUS$  has accessed local password managers and databases to obtain further credentials from a compromised network. 
S0652,MarkiRAT,MarkiRAT  can gather information from the Keepass password manager. 
C0014,Operation Wocao,"During  Operation Wocao , threat actors accessed and collected credentials from password managers. "
S0279,Proton,Proton  gathers credentials in files for 1password. 
G0027,Threat Group-3390,Threat Group-3390  obtained a KeePass database from a compromised host. 
S0266,TrickBot,TrickBot  can steal passwords from the KeePass open source password manager. 
M1027,Password Policies,Refer to NIST guidelines when creating password policies for master passwords. 
M1054,Software Configuration,Consider re-locking password managers after a short timeout to limit the time plaintext credentials live in memory from decrypted databases.
M1051,Update Software,Update password managers regularly by employing patch management for internal enterprise endpoints and servers.
S0526,KGH_SPY,KGH_SPY  can collect credentials from the Windows Credential Manager. 
S0349,LaZagne,LaZagne  can obtain credentials from Vault files. 
S0681,Lizar,Lizar  has a plugin that can retrieve credentials from Internet Explorer and Microsoft Edge using  vaultcmd.exe  and another that can collect RDP access credentials using the  CredEnumerateW  function. 
S0002,Mimikatz,Mimikatz  contains functionality to acquire credentials from the Windows Credential Manager. 
G0049,OilRig,OilRig  has used credential dumping tool named VALUEVAULT to steal credentials from the Windows Credential Manager. 
S0194,PowerSploit,PowerSploit  contains a collection of Exfiltration modules that can harvest credentials from Windows vault credential objects.  
S0629,RainyDay,RainyDay  can use the QuarksPwDump tool to obtain local passwords and domain cached credentials. 
S0240,ROKRAT,ROKRAT  can steal credentials by leveraging the Windows Vault mechanism. 
S0692,SILENTTRINITY,SILENTTRINITY  can gather Windows Vault credentials. 
G0038,Stealth Falcon,Stealth Falcon  malware gathers passwords from the Windows Credential Vault. 
G0010,Turla,Turla  has gathered credentials from the Windows Credential Manager tool. 
S0476,Valak,Valak  can use a .NET compiled module named exchgrabber to enumerate credentials from the Credential Manager. 
G0102,Wizard Spider,Wizard Spider  has used PowerShell cmdlet  Invoke-WCMDump  to enumerate Windows credentials in the Credential Manager in a compromised network. 
M1042,Disable or Remove Feature or Program,"Consider enabling the ""Network access: Do not allow storage of passwords and credentials for network authentication"" setting that will prevent network credentials from being stored by the Credential Manager. "
S0276,Keydnap,Keydnap  uses the keychaindump project to read securityd memory. 
S0331,Agent Tesla,Agent Tesla  can gather credentials from a number of browsers. 
G0130,Ajax Security Team,"Ajax Security Team  has used FireMalv custom-developed malware, which collected passwords from the Firefox browser storage. "
G0022,APT3,APT3  has used tools to dump passwords from browsers. 
G0064,APT33,APT33  has used a variety of publicly available tools like  LaZagne  to gather credentials.  
G0067,APT37,APT37  has used a credential stealer known as ZUMKONG that can harvest usernames and passwords stored in browsers. 
S0344,Azorult,Azorult  can steal credentials from the victim's browser. 
S0093,Backdoor.Oldrea,Some  Backdoor.Oldrea  samples contain a publicly available Web browser password recovery tool. 
S0089,BlackEnergy,"BlackEnergy  has used a plug-in to gather credentials from web browsers including FireFox, Google Chrome, and Internet Explorer.  "
S0657,BLUELIGHT,"BLUELIGHT  can collect passwords stored in web browers, including Internet Explorer, Edge, Chrome, and Naver Whale. "
S0484,Carberp,"Carberp 's passw.plug plugin can gather passwords saved in Opera, Internet Explorer, Safari, Firefox, and Chrome. "
S0631,Chaes,Chaes  can steal login credentials and stored financial information from the browser. 
S0144,ChChes,ChChes  steals credentials stored inside Internet Explorer. 
S0492,CookieMiner,CookieMiner  can steal saved usernames and passwords in Chrome as well as credit card credentials. 
S0050,CosmicDuke,"CosmicDuke  collects user credentials, including passwords, for various programs including Web browsers. "
S0115,Crimson,Crimson  contains a module to steal credentials from Web browsers on the victim machine.  
S0367,Emotet,Emotet  has been observed dropping browser password grabber modules.   
S0363,Empire,Empire  can use modules that extract passwords from common web browsers such as Firefox and Chrome. 
G0037,FIN6,FIN6  has used the Stealer One credential stealer to target web browsers. 
S0531,Grandoreiro,Grandoreiro  can steal cookie data and credentials from Google Chrome.  
S0132,H1N1,"H1N1  dumps usernames and passwords from Firefox, Internet Explorer, and Outlook. "
G1001,HEXANE,HEXANE  has used a  Mimikatz -based tool and a PowerShell script to steal passwords from Google Chrome. 
S0434,Imminent Monitor,Imminent Monitor  has a PasswordRecoveryPacket module for recovering browser passwords. 
G0100,Inception,"Inception  used a browser plugin to steal passwords and sessions from Internet Explorer, Chrome, Opera, Firefox, Torch, and Yandex. "
S0528,Javali,"Javali  can capture login credentials from open browsers including Firefox, Chrome, Internet Explorer, and Edge. "
S0283,jRAT,"jRAT  can capture passwords from common web browsers such as Internet Explorer, Google Chrome, and Firefox. "
S0387,KeyBoy,KeyBoy  attempts to collect passwords from browsers. 
S0526,KGH_SPY,"KGH_SPY  has the ability to steal data from the Chrome, Edge, Firefox, Thunderbird, and Opera browsers. "
G0094,Kimsuky,Kimsuky  has used browser extensions including Google Chrome to steal passwords and cookies from browsers.  Kimsuky  has also used Nirsoft's WebBrowserPassView tool to dump the passwords obtained from victims.    
S0356,KONNI,"KONNI  can steal profiles (containing credential information) from Firefox, Chrome, and Opera. "
G1004,LAPSUS$,LAPSUS$  has obtained passwords and session tokens with the use of the Redline password stealer. 
S0349,LaZagne,"LaZagne  can obtain credentials from web browsers such as Google Chrome, Internet Explorer, and Firefox. "
G0077,Leafminer,"Leafminer  used several tools for retrieving login and password information, including LaZagne. "
S0681,Lizar,Lizar  has a module to collect usernames and passwords stored in browsers. 
S0447,Lokibot,Lokibot  has demonstrated the ability to steal credentials from multiple applications and data sources including Safari and the Chromium and Mozilla Firefox-based web browsers. 
S0409,Machete,Machete  collects stored credentials from several web browsers. 
S0530,Melcoz,Melcoz  has the ability to steal credentials from web browsers. 
S0002,Mimikatz,"Mimikatz  performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from DPAPI.    "
G0021,Molerats,Molerats  used the public tool BrowserPasswordDump10 to dump passwords saved in browsers on victims. 
G0069,MuddyWater,MuddyWater  has run tools including Browser64 to steal passwords saved in victim web browsers.  
S0198,NETWIRE,"NETWIRE  has the ability to steal credentials from web browsers including Internet Explorer, Opera, Yandex, and Chrome.   "
S0385,njRAT,njRAT  has a module that steals passwords saved in victim web browsers.   
G0049,OilRig,OilRig  has used credential dumping tools such as  LaZagne  to steal credentials to accounts logged into the compromised system and to Outlook Web Access.       OilRig  has also used tool named PICKPOCKET to dump passwords from web browsers. 
S0138,OLDBAIT,"OLDBAIT  collects credentials from Internet Explorer, Mozilla Firefox, and Eudora. "
S0365,Olympic Destroyer,Olympic Destroyer  contains a module that tries to obtain stored credentials from web browsers. 
G0040,Patchwork,Patchwork  dumped the login data database from  \AppData\Local\Google\Chrome\User Data\Default\Login Data . 
S0048,PinchDuke,"PinchDuke  steals credentials from compromised hosts.  PinchDuke 's credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by  PinchDuke  include ones associated with many sources such as Netscape Navigator, Mozilla Firefox, Mozilla Thunderbird, and Internet Explorer.  "
S0435,PLEAD,"PLEAD  can harvest saved credentials from browsers such as Google Chrome, Microsoft Internet Explorer, and Mozilla Firefox.  "
S0428,PoetRAT,PoetRAT  has used a Python tool named Browdec.exe to steal browser credentials. 
S0113,Prikormka,"A module in  Prikormka  gathers logins and passwords stored in applications on the victims, including Google Chrome, Mozilla Firefox, and several other browsers. "
S0279,Proton,Proton  gathers credentials for Google Chrome. 
S0192,Pupy,Pupy  can use Lazagne for harvesting credentials. 
S0650,QakBot,QakBot  has collected usernames and passwords from Firefox and Chrome. 
S0262,QuasarRAT,QuasarRAT  can obtain passwords from common web browsers.  
S0629,RainyDay,RainyDay  can use tools to collect credentials from web browsers. 
S0153,RedLeaves,RedLeaves  can gather browser usernames and passwords. 
S0240,ROKRAT,ROKRAT  can steal credentials stored in Web browsers by querying the sqlite database. 
G0034,Sandworm Team,Sandworm Team 's CredRaptor tool can collect saved passwords from various internet browsers. 
S0692,SILENTTRINITY,SILENTTRINITY  can collect clear text web credentials for Internet Explorer/Edge. 
S0226,Smoke Loader,Smoke Loader  searches for credentials stored from web browsers. 
C0024,SolarWinds Compromise,"During the  SolarWinds Compromise ,  APT29  stole users' saved passwords from Chrome. "
G0038,Stealth Falcon,"Stealth Falcon  malware gathers passwords from multiple sources, including Internet Explorer, Firefox, and Chrome. "
S1042,SUGARDUMP,"SUGARDUMP  variants have harvested credentials from browsers such as Firefox, Chrome, Opera, and Edge. "
G0092,TA505,TA505  has used malware to gather credentials from Internet Explorer. 
S0266,TrickBot,"TrickBot  can obtain passwords stored in files from web browsers such as Chrome, Firefox, Internet Explorer, and Microsoft Edge, sometimes using  esentutl .   "
S0094,Trojan.Karagany,Trojan.Karagany  can steal data and credentials from browsers. 
S0436,TSCookie,"TSCookie  has the ability to steal saved passwords from the Internet Explorer, Edge, Firefox, and Chrome browsers. "
S0130,Unknown Logger,Unknown Logger  is capable of stealing usernames and passwords from browsers on the victim machine. 
S0670,WarzoneRAT,WarzoneRAT  has the capability to grab passwords from numerous web browsers as well as from Outlook and Thunderbird email clients.  
S0161,XAgentOSX,XAgentOSX  contains the getFirefoxPassword function to attempt to locate Firefox passwords. 
S0251,Zebrocy,Zebrocy  has the capability to upload dumper tools that extract credentials from web browsers and store them in database files. 
G0128,ZIRCONIUM,ZIRCONIUM  has used a tool to steal credentials from installed web browsers including Microsoft Internet Explorer and Google Chrome. 
M1027,Password Policies,"Organizations may consider weighing the risk of storing credentials in web browsers. If web browser credential disclosure is a significant concern, technical controls, policy, and user training may be used to prevent storage of credentials in web browsers."
S1091,Pacu,Pacu  can retrieve secrets from the AWS Secrets Manager via the enum_secrets module. 
M1026,Privileged Account Management,Limit the number of cloud accounts and services with permission to query the secrets manager to only those required. Ensure that accounts and services with permissions to query the secrets manager only have access to the secrets they require.
S1068,BlackCat,BlackCat  has the ability to wipe VM snapshots on compromised networks.  
S0697,HermeticWiper,HermeticWiper  has the ability to corrupt disk partitions and obtain raw disk access to destroy data.  
G0032,Lazarus Group,"Lazarus Group  has used malware like WhiskeyAlfa to overwrite the first 64MB of every drive with a mix of static and random buffers. A similar process is then used to wipe content in logical drives and, finally, attempt to wipe every byte of every sector on every drive. WhiskeyBravo can be used to overwrite the first 4.9MB of physical drives. WhiskeyDelta can overwrite the first 132MB or 1.5MB of each drive with random data from heap memory. "
S0576,MegaCortex,MegaCortex  can wipe deleted data from all drives using  cipher.exe . 
S0364,RawDisk,RawDisk  has been used to directly access the hard disk to help overwrite arbitrarily sized portions of disk content. 
S0380,StoneDrill,StoneDrill  can wipe the accessible physical or logical drives of the infected machine. 
S0689,WhisperGate,WhisperGate  can overwrite sectors of a victim host's hard drive at periodic offsets.   
M1053,Data Backup,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.   Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
G1004,LAPSUS$,LAPSUS$  has searched a victim's network for collaboration platforms like Confluence and JIRA to discover further high-privilege account credentials. 
M1047,Audit,Consider periodic review of accounts and privileges for critical and sensitive Confluence repositories.
M1018,User Account Management,Enforce the principle of least-privilege. Consider implementing access control mechanisms that include both authentication and authorization.
M1017,User Training,Develop and publish policies that define acceptable information to be stored in Confluence repositories.
M1041,Encrypt Sensitive Information,Configure SNMPv3 to use the highest level of security (authPriv) available. 
M1037,Filter Network Traffic,Apply extended ACLs to block unauthorized protocols outside the trusted network. 
M1031,Network Intrusion Prevention,Configure intrusion prevention devices to detect SNMP queries and commands from unauthorized sources. 
M1030,Network Segmentation,Segregate SNMP traffic on a separate management network. 
M1054,Software Configuration,Allowlist MIB objects and implement SNMP views. 
M1051,Update Software,Keep system images and software updated and migrate to SNMPv3. 
S0031,BACKSPACE,Newer variants of  BACKSPACE  will encode C2 communications with a custom system. 
S0239,Bankshot,Bankshot  encodes commands from the control server using a range of characters and gzip. 
S0687,Cyclops Blink,Cyclops Blink  can use a custom binary scheme to encode messages with specific commands and parameters to be executed. 
S0260,InvisiMole,InvisiMole  can use a modified base32 encoding to encode data within the subdomain of C2 requests. 
S1090,NightClub,"NightClub  has used a non-standard encoding in DNS tunneling removing any  =  from the result of base64 encoding, and replacing  /  characters with  -s  and  +  characters with  -p . "
S0346,OceanSalt,OceanSalt  can encode data with a NOT operation before sending the data to the control server. 
S1046,PowGoop,PowGoop  can use a modified Base64 encoding mechanism to send data to and from the C2 server. 
S0495,RDAT,RDAT  can communicate with the C2 via subdomains that utilize base64 with character substitutions. 
S0596,ShadowPad,ShadowPad  has encoded data as readable Latin characters. 
S1035,Small Sieve,Small Sieve  can use a custom hex byte swapping encoding scheme to obfuscate tasking traffic.  
S0022,Uroburos,Uroburos  can use a custom base62 and a de-facto base32 encoding that uses digits 0-9 and lowercase letters a-z in C2 communications. 
M1031,Network Intrusion Prevention,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools."
G0007,APT28,APT28  has collected information from Microsoft SharePoint services within target networks. 
C0027,C0027,"During  C0027 ,  Scattered Spider  accessed victim SharePoint environments to search for VPN and MFA enrollment information, help desk instructions, and new hire guides. "
G0114,Chimera,Chimera  has collected documents from the victim's SharePoint. 
G0004,Ke3chang,Ke3chang  used a SharePoint enumeration and data dumping tool known as spwebmember. 
G1004,LAPSUS$,LAPSUS$  has searched a victim's network for collaboration platforms like SharePoint to discover further high-privilege account credentials.  
S0227,spwebmember,spwebmember  is used to enumerate and dump information from Microsoft SharePoint. 
M1047,Audit,Consider periodic review of accounts and privileges for critical and sensitive SharePoint repositories.
M1018,User Account Management,Enforce the principle of least-privilege. Consider implementing access control mechanisms that include both authentication and authorization.
M1017,User Training,Develop and publish policies that define acceptable information to be stored in SharePoint repositories.
G0067,APT37,APT37  has access to destructive malware that is capable of overwriting a machine's Master Boot Record (MBR).  
G0082,APT38,APT38  has used a custom MBR wiper named BOOTWRECK to render systems inoperable. 
S0693,CaddyWiper,"CaddyWiper  has the ability to destroy information about a physical drive's partitions including the MBR, GPT, and partition entries.  "
S0697,HermeticWiper,"HermeticWiper  has the ability to corrupt disk partitions, damage the Master Boot Record (MBR), and overwrite the Master File Table (MFT) of all available physical drives.    "
S0607,KillDisk,"KillDisk  overwrites the first sector of the Master Boot Record with ""0x00"". "
G0032,Lazarus Group,Lazarus Group  malware SHARPKNOT overwrites and deletes the Master Boot Record (MBR) on the victim's machine and has possessed MBR wiper malware since at least 2009.  
S0364,RawDisk,RawDisk  was used in  Shamoon  to help overwrite components of disk structure like the MBR and disk partitions.  
G0034,Sandworm Team,Sandworm Team  has used the  BlackEnergy  KillDisk component to corrupt the infected system's master boot record.  
S0140,Shamoon,Shamoon  has been seen overwriting features of disk structure such as the MBR.    
S0380,StoneDrill,StoneDrill  can wipe the master boot record of an infected computer. 
S0689,WhisperGate,WhisperGate  can overwrite the Master Book Record (MBR) on victim systems with a malicious 16-bit bootloader.      
M1053,Data Backup,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.   Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
M1041,Encrypt Sensitive Information,Configure SNMPv3 to use the highest level of security (authPriv) available. 
M1037,Filter Network Traffic,Apply extended ACLs to block unauthorized protocols outside the trusted network. 
M1031,Network Intrusion Prevention,Configure intrusion prevention devices to detect SNMP queries and commands from unauthorized sources. Create signatures to detect Smart Install (SMI) usage from sources other than trusted director. 
M1030,Network Segmentation,Segregate SNMP traffic on a separate management network. 
M1054,Software Configuration,Allowlist MIB objects and implement SNMP views. Disable Smart Install (SMI) if not used.  
M1051,Update Software,Keep system images and software updated and migrate to SNMPv3. 
S0045,ADVSTORESHELL,"C2 traffic from  ADVSTORESHELL  is encrypted, then encoded with Base64 encoding. "
G0073,APT19,An  APT19  HTTP malware variant used Base64 to encode communications to the C2 server. 
G0064,APT33,APT33  has used base64 to encode command and control traffic. 
S0373,Astaroth,Astaroth  encodes data using Base64 before sending it to the C2 server.  
S0129,AutoIt backdoor,AutoIt backdoor  has sent a C2 response that was base64-encoded. 
S0414,BabyShark,BabyShark  has encoded data using  certutil  before exfiltration. 
S0093,Backdoor.Oldrea,"Some  Backdoor.Oldrea  samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers. "
S0128,BADNEWS,BADNEWS  encodes C2 traffic with base64.   
S0268,Bisonal,Bisonal  has encoded binary data with Base64 and ASCII.  
S0520,BLINDINGCAN,BLINDINGCAN  has encoded its C2 traffic with Base64. 
G0060,BRONZE BUTLER,Several  BRONZE BUTLER  tools encode data with base64 when posting it to a C2 server. 
S0014,BS2005,BS2005  uses Base64 encoding for communication in the message body of an HTTP request. 
S1039,Bumblebee,Bumblebee  has the ability to base64 encode C2 server responses. 
S0030,Carbanak,Carbanak  encodes the message body of HTTP traffic with Base64.  
S0631,Chaes,Chaes  has used Base64 to encode C2 communications. 
S0674,CharmPower,CharmPower  can send additional modules over C2 encoded with base64. 
S0144,ChChes,ChChes  can encode C2 data with a custom technique that utilizes Base64.  
S0154,Cobalt Strike,"Cobalt Strike  can use Base64, URL-safe Base64, or NetBIOS encoding in its C2 traffic. "
S0338,Cobian RAT,Cobian RAT  obfuscates communications with the C2 server using Base64 encoding. 
S0137,CORESHELL,CORESHELL  C2 messages are Base64-encoded. 
S1024,CreepySnail,CreepySnail  can use Base64 to encode its C2 traffic. 
S0673,DarkWatchman,DarkWatchman  encodes data using hexadecimal representation before sending it to the C2 server. 
S0187,Daserf,Daserf  uses custom base64 encoding to obfuscate HTTP traffic. 
S0354,Denis,Denis  encodes the data sent to the server in Base64. 
S0200,Dipsind,Dipsind  encodes C2 traffic with base64. 
S1021,DnsSystem,DnsSystem  can Base64 encode data sent to C2. 
S0472,down_new,down_new  has the ability to base64 encode C2 communications. 
S0377,Ebury,Ebury  has encoded C2 traffic in hexadecimal format. 
S0081,Elise,Elise  exfiltrates data using cookie values that are Base64-encoded. 
S0367,Emotet,Emotet  has used Google’s Protobufs to serialize data sent to and from the C2 server. 
S0171,Felismus,Some  Felismus  samples use a custom method for C2 traffic that utilizes Base64. 
S0696,Flagpro,Flagpro  has encoded bidirectional data communications between a target system and C2 server using Base64. 
S0410,Fysbis,Fysbis  can use Base64 to encode its C2 traffic. 
S0032,gh0st RAT,gh0st RAT  has used Zlib to compress C2 communications data before encrypting it. 
S0632,GrimAgent,GrimAgent  can base64 encode C2 replies. 
G0125,HAFNIUM,HAFNIUM  has used ASCII encoding for C2 traffic. 
S0170,Helminth,"For C2 over HTTP,  Helminth  encodes data with base64 and sends it via the ""Cookie"" field of HTTP requests. For C2 over DNS,  Helminth  converts ASCII characters into their hexadecimal values and sends the data in cleartext. "
S0376,HOPLIGHT,HOPLIGHT  has utilized Zlib compression to obfuscate the communications payload.  
S0015,Ixeshe,Ixeshe  uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests.  
S0044,JHUHUGIT,A  JHUHUGIT  variant encodes C2 POST data base64. 
S0265,Kazuar,Kazuar  encodes communications to the C2 server in Base64. 
S0487,Kessel,Kessel  has exfiltrated data via hexadecimal-encoded subdomain fields of DNS queries. 
S1020,Kevin,Kevin  can Base32 encode chunks of output files during exfiltration. 
S0356,KONNI,KONNI  has used a custom base64 key to encode stolen data before exfiltration. 
G0032,Lazarus Group,A  Lazarus Group  malware sample encodes data with base64. 
S0409,Machete,Machete  has used base64 encoding. 
S1060,Mafalda,Mafalda  can encode data using Base64 prior to exfiltration. 
S0459,MechaFlounder,MechaFlounder  has the ability to use base16 encoded strings in C2. 
S0084,Mis-Type,Mis-Type  uses Base64 encoding for C2 traffic. 
S0083,Misdat,Misdat  network traffic is Base64-encoded plaintext. 
S1026,Mongall,Mongall  can use Base64 to encode information sent to its C2. 
S0284,More_eggs,"More_eggs  has used basE91 encoding, along with encryption, for C2 communication. "
S1047,Mori,Mori  can use Base64 encoded JSON libraries used in C2. 
G0069,MuddyWater,MuddyWater  has used tools to encode C2 communications including Base64 encoding.  
S0385,njRAT,njRAT  uses Base64 encoding for C2 traffic. 
S0340,Octopus,Octopus  has encoded C2 communications in Base64. 
S0439,Okrum,Okrum  has used base64 to encode C2 communication. 
S0264,OopsIE,OopsIE  encodes data in hexadecimal format over the C2 channel. 
S0352,OSX_OCEANLOTUS.D,OSX_OCEANLOTUS.D  has used  zlib  to compress all data after 0x52 for the custom TCP C2 protocol. 
G0040,Patchwork,Patchwork  used Base64 to encode C2 traffic. 
S1031,PingPull,PingPull  can encode C2 traffic with Base64. 
S0124,Pisloader,Responses from the  Pisloader  C2 server are base32-encoded. 
S0441,PowerShower,PowerShower  has the ability to encode C2 communications with base64 encoding.  
S0223,POWERSTATS,POWERSTATS  encoded C2 traffic with base64. 
S0184,POWRUNER,POWRUNER  can use base64 encoded C2 communications. 
S0113,Prikormka,Prikormka  encodes C2 traffic with Base64. 
S0650,QakBot,QakBot  can Base64 encode system information sent to C2.  
S0269,QUADAGENT,QUADAGENT  encodes C2 communications with base64. 
S1076,QUIETCANARY,QUIETCANARY  can base64 encode C2 communications. 
S0458,Ramsay,Ramsay  has used base64 to encode its C2 traffic. 
S0495,RDAT,RDAT  can communicate with the C2 via base32-encoded subdomains. 
S0379,Revenge RAT,Revenge RAT  uses Base64 to encode information sent to the C2 server. 
S0270,RogueRobin,RogueRobin  base64 encodes strings that are sent to the C2 over its DNS tunnel. 
S1078,RotaJakiro,RotaJakiro  uses ZLIB Compression to compresses data sent to the C2 server in the  payload  section network communication packet. 
S0085,S-Type,S-Type  uses Base64 encoding for C2 traffic. 
S1018,Saint Bot,Saint Bot  has used Base64 to encode its C2 communications. 
G0034,Sandworm Team,Sandworm Team 's BCS-server tool uses base64 encoding and HTML tags for the communication traffic between the C2 server. 
S1085,Sardonic,Sardonic  can encode client ID data in 32 uppercase hex characters and transfer to the actor-controlled C2 server. 
S0053,SeaDuke,SeaDuke  C2 traffic is base64-encoded. 
S0610,SideTwist,SideTwist  has used Base64 for encoded C2 traffic. 
S0633,Sliver,Sliver  can use standard encoding techniques like gzip and hex to ASCII to encode the C2 communication payload. 
S0649,SMOKEDHAM,SMOKEDHAM  has encoded its C2 traffic with Base64. 
S0543,Spark,Spark  has encoded communications with the C2 server with base64. 
S0374,SpeakUp,SpeakUp  encodes C&C communication using Base64.  
S1030,Squirrelwaffle,Squirrelwaffle  has encoded its communications to C2 servers using Base64. 
S1037,STARWHALE,STARWHALE  has the ability to hex-encode collected data from an infected host. 
S0603,Stuxnet,Stuxnet  transforms encrypted binary data into an ASCII string in order to use it as a URL parameter value. 
S0559,SUNBURST,SUNBURST  used Base64 encoding in its C2 traffic. 
S0663,SysUpdate,SysUpdate  has used Base64 to encode its C2 traffic. 
G0127,TA551,TA551  has used encoded ASCII text for initial C2 communications. 
S0678,Torisma,Torisma  has encoded C2 communications with Base64. 
S0266,TrickBot,TrickBot  can Base64-encode C2 commands. 
G0081,Tropic Trooper,Tropic Trooper  has used base64 encoding to hide command strings delivered from the C2. 
S0476,Valak,Valak  has returned C2 data as encoded ASCII. 
S0514,WellMess,WellMess  has used Base64 encoding to uniquely identify communication to and from the C2. 
S0653,xCaon,xCaon  has used Base64 to encode its C2 traffic. 
S0251,Zebrocy,Zebrocy  has used URL/Percent Encoding on data exfiltrated via HTTP POST requests. 
M1031,Network Intrusion Prevention,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools."
G1004,LAPSUS$,LAPSUS$  has searched a victim's network for code repositories like GitLab and GitHub to discover further high-privilege account credentials.  
C0024,SolarWinds Compromise,"During the  SolarWinds Compromise ,  APT29  downloaded source code from code repositories. "
M1047,Audit,Consider periodic reviews of accounts and privileges for critical and sensitive code repositories. Scan code repositories for exposed credentials or other sensitive information.
M1032,Multi-factor Authentication,Use multi-factor authentication for logons to code repositories.
M1018,User Account Management,Enforce the principle of least-privilege. Consider implementing access control mechanisms that include both authentication and authorization for code repositories.
M1017,User Training,Develop and publish policies that define acceptable information to be stored in code repositories.
G0082,APT38,"APT38  has used DYEPACK to create, delete, and alter records in databases used for SWIFT transactions. "
